Country,Code,Year,Stunt,Stunting
Bangladesh,BGD,1986,70.9,70.9
Bangladesh,BGD,1990,63.40000153,63.4
Bangladesh,BGD,1991,73.59999847,73.6
Bangladesh,BGD,1992,71.5,71.5
Bangladesh,BGD,1993,69.19999695,69.2
Bangladesh,BGD,1994,67.30000305,67.3
Bangladesh,BGD,1995,65.80000305,65.8
Bangladesh,BGD,1996,63.79999924,63.8
Bangladesh,BGD,1997,59.59999847,59.6
Bangladesh,BGD,1998,59.29999924,59.3
Bangladesh,BGD,1999,59.90000153,59.9
Bangladesh,BGD,2000,51.09999847,51.1
Bangladesh,BGD,2001,53.20000076,53.2
Bangladesh,BGD,2002,51.40000153,51.4
Bangladesh,BGD,2003,47.79999924,47.8
Bangladesh,BGD,2004,50.5,50.5
Bangladesh,BGD,2005,45.90000153,45.9
Bangladesh,BGD,2006,45.09999847,45.1
Bangladesh,BGD,2007,43.20000076,43.2
Bangladesh,BGD,2011,41.29999924,41.3
Bangladesh,BGD,2013,38.70000076,38.7
Bangladesh,BGD,2014,36.20000076,36.2
Bangladesh,BGD,2018,30.89999962,30.9
Bangladesh,BGD,2019,28,28.0
China,CHN,1987,38.29999924,38.3
China,CHN,1990,32.29999924,32.3
China,CHN,1992,38,38.0
China,CHN,1995,31.20000076,31.2
China,CHN,1998,19.79999924,19.8
China,CHN,2000,17.79999924,17.8
China,CHN,2002,21.79999924,21.8
China,CHN,2005,11.69999981,11.7
China,CHN,2008,9.800000191,9.8
China,CHN,2009,9,9.0
China,CHN,2010,9.399999619,9.4
China,CHN,2013,8.100000381,8.1
China,CHN,2017,4.800000191,4.8
Colombia,COL,1986,26.60000038,26.6
Colombia,COL,1989,21.79999924,21.8
Colombia,COL,1995,19.60000038,19.6
Colombia,COL,2000,18.20000076,18.2
Colombia,COL,2005,16,16.0
Colombia,COL,2010,12.60000038,12.6
Kenya,KEN,1987,37,37.0
Kenya,KEN,1993,40.20000076,40.2
Kenya,KEN,1994,41.09999847,41.1
Kenya,KEN,1998,37.40000153,37.4
Kenya,KEN,2000,40.79999924,40.8
Kenya,KEN,2003,35.79999924,35.8
Kenya,KEN,2005,40.29999924,40.3
Kenya,KEN,2008,35.5,35.5
Kenya,KEN,2011,26.29999924,26.3
Kenya,KEN,2014,26.20000076,26.2
Peru,PER,1991,37.29999924,37.3
Peru,PER,1996,31.60000038,31.6
Peru,PER,2000,31.29999924,31.3
Peru,PER,2005,29.20000076,29.2
Peru,PER,2007,28,28.0
Peru,PER,2009,23.89999962,23.9
Peru,PER,2010,23.29999924,23.3
Peru,PER,2011,19.5,19.5
Peru,PER,2012,18.39999962,18.4
Peru,PER,2013,17.60000038,17.6
Peru,PER,2014,14.80000019,14.8
Peru,PER,2015,14.69999981,14.7
Peru,PER,2016,13.10000038,13.1
Peru,PER,2017,12.80000019,12.8
Peru,PER,2018,12.19999981,12.2
Peru,PER,2019,12.19999981,12.2
United States of America,USA,1991,3.099999905,3.1
United States of America,USA,2000,3.200000048,3.2
United States of America,USA,2002,3.099999905,3.1
United States of America,USA,2004,2.900000095,2.9
United States of America,USA,2006,3.099999905,3.1
United States of America,USA,2008,2.299999952,2.3
United States of America,USA,2010,2.799999952,2.8
United States of America,USA,2012,2.200000048,2.2
United States of America,USA,2014,2.400000095,2.4
